Identification Number,First Name,Last Name,Date of Birth,Address,Phone Number,Username,Password,User Type,Checking Account Number,Checking Starting Balance,Savings Account Number,Savings Starting Balance,Credit Account Number,Credit Max,Credit Starting Balance
79,Adam,Bass,05-Mar-39,"500 W. University Ave, El Paso, TX 79968",(915) 747-5042,adambass,Fun!23,Customer,1078,857.56,2078,3364.79,3078,7985,-786.93
49,Adam,Maldonado,05-May-41,"500 W. University Ave, El Paso, TX 79968",(915) 747-5012,adammaldonado,Fun!23,Customer,1048,1845.56,2048,3352.49,3048,8899,-58.57
18,Aladdin,Disney,20-Jan-83,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,aladdindisney,Fun!23,Customer,1017,518.07,2017,2220.54,3017,3029,-406.48
76,Alan,Gamez,06-Aug-94,"500 W. University Ave, El Paso, TX 79968",(915) 747-5039,alangamez,Fun!23,Customer,1075,1352.3,2075,132.29,3075,8789,-1240.71
38,Alejandra,Morris,19-Oct-65,"500 W. University Ave, El Paso, TX 79968",(915) 747-5001,alejandramorris,Fun!23,Customer,1037,85.09,2037,516.33,3037,3484,-1827.58
80,Alex,Vega,25-Dec-18,"500 W. University Ave, El Paso, TX 79968",(915) 747-5043,alexvega,Fun!23,Customer,1079,362.4,2079,2413.6,3079,8357,-1911.51
54,Alexander,Cameron,16-Sep-58,"500 W. University Ave, El Paso, TX 79968",(915) 747-5017,alexandercameron,Fun!23,Customer,1053,1734.37,2053,4768.87,3053,5352,-886.85
48,Alexander,Carter,05-May-98,"500 W. University Ave, El Paso, TX 79968",(915) 747-5011,alexandercarter,Fun!23,Customer,1047,1076.98,2047,3271.72,3047,7772,-281.86
39,Alexander,Kelly,13-Mar-01,"500 W. University Ave, El Paso, TX 79968",(915) 747-5002,alexanderkelly,Fun!23,Customer,1038,474.39,2038,3447.36,3038,3177,-866.29
47,Alexander,Wilson,12-Jul-72,"500 W. University Ave, El Paso, TX 79968",(915) 747-5010,alexanderwilson,Fun!23,Customer,1046,519.88,2046,1812.87,3046,8798,-1863.49
