Identification Number,First Name,Last Name,Date of Birth,Address,Phone Number,Username,Password,User Type,Checking Account Number,Checking Starting Balance,Savings Account Number,Savings Starting Balance,Credit Account Number,Credit Max,Credit Starting Balance
64,Alexandra,Cook,07-Aug-04,"500 W. University Ave, El Paso, TX 79968",(915) 747-5027,alexandracook,Fun!23,Customer,1063,1506.74,2063,4347.22,3063,6487.0,-1050.73
66,Alexis,Ford,27-Jan-84,"500 W. University Ave, El Paso, TX 79968",(915) 747-5029,alexisford,Fun!23,Customer,1065,1942.67,2065,655.67,3065,4080.0,-1930.17
4,Allison,Cross,05-Mar-51,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,allisoncross,Fun!23,Customer,1003,1456.69,2003,884.26,3003,8647.0,-141.39
5,Allison,Weaver,20-Mar-37,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,allisonweaver,Fun!23,Customer,1004,1549.67,2004,1622.73,3004,5415.0,-1289.68
70,Ali,Nouri,21-Dec-09,"500 W. University Ave, El Paso, TX 79968",(915) 747-5033,alinouri,Fun!23,Customer,1069,623.42,2069,1691.78,3069,5351.0,-1966.94
6,Alyssa,Kelly,25-Aug-05,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,alyssakelly,Fun!23,Customer,1005,32.84,2005,3687.14,3005,8089.0,-1451.7
71,Allison,Chang,14-Nov-07,"500 W. University Ave, El Paso, TX 79968",(915) 747-5034,allisonchang,Fun!23,Customer,1070,1450.22,2070,529.74,3070,8674.0,-689.71
7,Alyssa,Poole,19-Aug-12,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,alyssapoole,Fun!23,Customer,1006,894.1,2006,4091.61,3006,3219.0,-53.21
8,Alyssa,Reese,03-Mar-47,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,alyssareese,Fun!23,Customer,1007,915.54,2007,2977.94,3007,7415.0,-4.16
73,Alexis,Black,21-Oct-02,"500 W. University Ave, El Paso, TX 79968",(915) 747-5036,alexisblack,Fun!23,Customer,1072,1152.39,2072,2408.91,3072,9319.0,-160.0
9,Alyssa,Smith,15-Apr-70,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,alyssasmith,Fun!23,Customer,1008,1581.97,2008,729.5,3008,7822.0,-1810.55
10,Amanda,Baker,17-Nov-91,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,amandabaker,Fun!23,Customer,1009,633.94,2009,1087.1,3009,9736.0,-1797.38
11,Amanda,Johnson,11-Oct-28,"1313 Disneyland Dr, Anaheim, CA 92802",(714) 781-4636,amandajohnson,Fun!23,Customer,1010,140.78,2010,3431.15,3010,7398.0,-1989.22
76,Alan,Gamez,06-Aug-94,"500 W. University Ave, El Paso, TX 79968",(915) 747-5039,alangamez,Fun!23,Customer,1075,1352.3,2075,132.29,3075,8789.0,-1240.71
